Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
503_1000_0,105.344,0.607,41.2,3.9,0.2,14.3,40.3,0.997579
503_1000_1,105.402,0.607,40.7,3.7,0.3,14.4,40.9,0.9975510000000001
503_1000_2,105.422,0.607,41.4,3.5,0.2,14.3,40.6,0.997703
503_1000_3,105.369,0.607,41.5,3.6,0.4,14.2,40.4,0.9975890000000001
503_1000_4,105.363,0.607,41.1,3.8,0.3,14.4,40.4,0.997045
503_1100_0,96.227,0.610,41.4,3.2,0.4,14.6,40.4,1.097
503_1100_1,96.212,0.610,41.3,3.6,0.3,14.6,40.2,1.097
503_1100_2,96.217,0.609,41.3,3.6,0.3,14.7,40.1,1.097
503_1100_3,96.205,0.610,41.1,3.6,0.3,15.1,39.9,1.097
503_1100_4,96.303,0.610,40.9,2.8,0.4,14.5,41.4,1.097
503_1200_0,88.725,0.613,41.9,2.6,0.3,15.0,40.3,1.197
503_1200_1,88.792,0.614,40.5,3.9,0.6,15.4,39.6,1.197
503_1200_2,88.619,0.613,41.1,3.1,0.3,14.7,40.8,1.197
503_1200_3,88.792,0.614,40.5,3.7,0.3,15.6,39.9,1.197
503_1200_4,88.685,0.613,41.4,3.1,0.2,14.9,40.3,1.197
503_1300_0,82.554,0.618,41.1,3.4,0.3,15.1,40.1,1.296
503_1300_1,82.430,0.617,41.1,3.5,0.3,15.4,39.7,1.296
503_1300_2,82.423,0.617,41.3,3.3,0.3,15.4,39.8,1.297
503_1300_3,82.534,0.618,40.9,3.2,0.2,15.4,40.3,1.296
503_1300_4,82.501,0.618,41.0,3.4,0.3,15.5,39.8,1.296
503_1500_0,72.338,0.625,40.6,3.9,0.3,16.2,39.0,1.497
503_1500_1,72.429,0.626,40.2,3.8,0.7,16.1,39.1,1.496
503_1500_2,72.376,0.625,40.2,3.6,0.3,16.4,39.6,1.496
503_1500_3,72.500,0.626,40.5,3.9,0.3,16.8,38.5,1.496
503_1500_4,72.403,0.626,40.1,3.9,0.6,16.5,38.9,1.496
503_1600_0,68.434,0.631,40.1,3.4,0.3,17.3,38.9,1.596
503_1600_1,68.347,0.630,39.9,3.3,0.2,17.4,39.2,1.596
503_1600_2,68.443,0.631,40.1,3.4,0.2,17.2,39.0,1.596
503_1600_3,68.419,0.631,40.2,3.4,0.2,17.0,39.3,1.595
503_1600_4,68.441,0.631,39.4,3.4,0.3,17.3,39.6,1.596
503_1700_0,64.986,0.637,39.2,3.2,0.3,17.9,39.4,1.696
503_1700_1,65.008,0.636,39.1,2.8,0.3,17.1,40.7,1.695
503_1700_2,65.062,0.637,39.2,2.6,0.3,17.6,40.3,1.695
503_1700_3,64.921,0.635,39.4,3.2,0.3,17.8,39.3,1.695
503_1700_4,64.848,0.635,39.3,3.2,0.2,18.1,39.1,1.695
503_1800_0,61.585,0.638,37.9,3.5,0.3,18.6,39.7,1.795
503_1800_1,61.468,0.637,39.0,2.8,0.2,16.6,41.4,1.795
503_1800_2,61.494,0.638,38.6,3.6,0.2,18.2,39.3,1.795
503_1800_3,61.481,0.637,38.9,3.6,0.2,18.3,39.0,1.795
503_1800_4,61.521,0.638,38.7,3.5,0.2,17.9,39.7,1.794
503_1900_0,58.486,0.640,40.1,2.9,0.2,17.7,39.1,1.893
503_1900_1,58.649,0.642,39.4,3.0,0.3,18.5,38.8,1.895
