Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
505_1000,178.226,1.243,18.9,30,27.9,9.3,14,0.997695
505_1100,163.483,1.255,18.8,29.7,27.7,9.6,14,1.097
505_1200,150.789,1.264,18.5,29.5,27.7,9.9,14.4,1.197
505_1300,140.22,1.274,18.5,29.4,27.7,10.1,14.3,1.297
505_1500,123.478,1.295,18.3,28.8,26.8,11.3,14.8,1.496
505_1600,116.391,1.303,18.2,28.8,26.9,11.2,14.9,1.596
505_1700,110.359,1.313,18,28.7,26.9,11.3,15,1.696
505_1800,104.716,1.32,17.7,28.4,26.7,12.2,15.3,1.796
505_1900,100.075,1.331,17.7,28.2,26,12.9,15.3,1.895
505_2000,96.457,1.351,17.6,28,26.2,12.6,15.4,1.995
505_2100,91.949,1.353,17.5,27.8,26.2,13,15.8,2.095
505_2300,84.655,1.363,17.1,27.6,25.8,13.7,15.9,2.295
505_2400,81.797,1.376,17.1,27.1,25.5,13.9,15.9,2.394
505_2500,79.201,1.387,16.9,27.3,25.6,14.4,16,2.494
505_2600,74.623,1.362,17.2,27.7,26.2,13.5,15.2,2.594
505_3700,56.695,1.472,16.1,25.8,24,17.7,16.7,3.688
