Benchmark,Elapsed Time (s) Median,CPI Rate Median,Retiring (%) Median,Front-End Bound (%) Median,Bad Speculation (%) Median,Memory Bound (%) Median,Core Bound (%) Median,Average CPU Frequency (GHz) Median
503_1000,105.369,0.607,41.2,3.7,0.3,14.3,40.4,0.997579
503_1100,96.217,0.61,41.3,3.6,0.3,14.6,40.2,1.097
503_1200,88.725,0.613,41.1,3.1,0.3,15.0,40.3,1.197
503_1300,82.501,0.618,41.1,3.4,0.3,15.4,39.8,1.296
503_1500,72.403,0.626,40.2,3.9,0.3,16.4,39.0,1.496
503_1600,68.434,0.631,40.1,3.4,0.2,17.3,39.2,1.596
503_1700,64.986,0.636,39.2,3.2,0.3,17.8,39.4,1.695
503_1800,61.494,0.638,38.7,3.5,0.2,18.2,39.7,1.795
503_1900,58.543,0.641,39.4,3.0,0.2,17.7,39.8,1.894
503_2000,55.974,0.645,39.7,3.1,0.3,18.8,38.1,1.994
503_2100,53.617999999999995,0.648,38.8,3.3,0.35,18.6,39.2,2.094
503_2300,49.294,0.653,38.8,3.6,0.3,19.3,37.9,2.293
503_2400,47.47,0.656,38.1,3.6,0.3,19.6,38.0,2.393
503_2500,45.83,0.66,38.4,3.5,0.3,20.1,37.4,2.492
503_2600,42.579,0.638,39.8,3.7,0.3,17.1,39.7,2.592
503_3700,32.341,0.684,36.0,3.4,0.3,23.3,36.7,3.666
507_1000,88.69,0.585,43.2,4.5,0.1,17.3,35.0,0.997293
507_1100,81.218,0.589,42.6,4.3,0.1,18.2,34.8,1.097
507_1200,75.296,0.596,42.6,4.2,0.1,18.2,34.8,1.197
507_1300,70.526,0.604,41.8,4.3,0.1,19.5,34.4,1.296
507_1500,62.704,0.62,40.3,4.1,0.2,21.2,34.3,1.496
507_1600,59.504,0.628,40.0,4.1,0.2,22.0,34.0,1.596
507_1700,56.762,0.636,39.6,4.3,0.2,22.6,33.0,1.695
507_1800,54.199,0.643,39.2,4.0,0.1,23.3,33.3,1.795
507_1900,52.03,0.652,38.6,4.2,0.1,25.0,32.2,1.895
